,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Cupra,León,Leon Sportstourer 1.4 Tsi Vz E Hybrid Dsg 245,2021,,33.022 km,Híbrido,245 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-leon-leon-sportstourer-14-tsi-vz-e-hybrid-dsg-245-en-lugo.htm?id=7677783,35900
1,Cupra,León,Leon 1.5 Etsi Dsg 110kw,2023,,NUEVO,Gasolina,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-15-etsi-dsg-110kw-en-madrid.htm?id=8113850,29500
2,Cupra,León,Leon Sportstourer 1.5 Etsi Dsg 110kw,2023,10,1 km,Gasolina,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-sportstourer-15-etsi-dsg-110kw-en-barcelona.htm?id=8090794,31490
3,Cupra,León,Leon 1.5 Etsi Dsg 110kw,2023,05,10 km,Gasolina,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-15-etsi-dsg-110kw-en-barcelona.htm?id=8097260,30490
4,Cupra,León,Leon 1.5 Etsi Dsg 110kw,2023,05,10 km,Gasolina,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-15-etsi-dsg-110kw-en-barcelona.htm?id=8060451,30490
5,Cupra,León,Leon 1.5 Etsi Dsg 110kw,2023,05,10 km,Gasolina,150 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-15-etsi-dsg-110kw-en-barcelona.htm?id=8060438,30490
6,Cupra,León,Leon 2.0 Tsi Dsg 140kw,2023,,NUEVO,Gasolina,190 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-20-tsi-dsg-140kw-en-barcelona.htm?id=8056526,31900
7,Cupra,León,Leon 1.5 Etsi Dsg 110kw,2023,,NUEVO,Gasolina,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-15-etsi-dsg-110kw-en-madrid.htm?id=8113886,30890
8,Cupra,León,Leon Sportstourer 1.5 Etsi Dsg 110kw,2023,,10.000 km,Gasolina,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-sportstourer-15-etsi-dsg-110kw-en-madrid.htm?id=8079121,30890
9,Cupra,León,Leon 1.4 Tsi E-hybrid Dsg 204,2023,,NUEVO,Híbrido,204 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-14-tsi-e-hybrid-dsg-204-en-barcelona.htm?id=8047163,32900
10,Cupra,León,Leon 1.5 Etsi Dsg 110kw,2023,03,10.509 km,Gasolina,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-leon-leon-15-etsi-dsg-110kw-en-barcelona.htm?id=8087970,28900
11,Cupra,León,Leon 1.5 Etsi Dsg 110kw,2023,,9.600 km,Gasolina,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-cupra--15-etsi-dsg-110kw-en-almeria.htm?id=8061704,29990
12,Cupra,León,Leon 1.4 Tsi E-hybrid Dsg 204,2023,,NUEVO,Híbrido,204 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-leon-leon-14-tsi-e-hybrid-dsg-204-en-barcelona.htm?id=8032152,34164
