,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Bmw,X7,Xdrive 40ia,2019,04,79.000 km,Gasolina,340 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-xdrive-40ia-en-granada.htm?id=7996670,72900
1,Bmw,X7,Xdrive 40ia,2023,,4.050 km,Gasolina,381 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40ia-en-barcelona.htm?id=8023866,127900
2,Bmw,X7,Xdrive 30da,2020,03,79.506 km,Diesel,265 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-xdrive-30da-en-valencia.htm?id=7806105,82268
3,Bmw,X7,Xdrive 40da,2023,04,NUEVO,Diesel,340 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40da-en-cadiz.htm?id=7755136,103900
4,Bmw,X7,Xdrive 40da,2023,04,NUEVO,Diesel,340 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40da-en-cadiz.htm?id=7755126,103900
5,Bmw,X7,Xdrive 40da,2023,04,NUEVO,Diesel,340 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40da-en-sevilla.htm?id=7755116,103900
6,Bmw,X7,Xdrive 40da,2023,04,NUEVO,Diesel,340 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40da-en-sevilla.htm?id=7755110,103900
7,Bmw,X7,Xdrive 40da,2022,06,0 km,Diesel,340 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40da-en-cadiz.htm?id=7711146,92300
8,Bmw,X7,Xdrive 40da,2022,06,0 km,Diesel,340 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40da-en-cadiz.htm?id=7711060,92300
9,Bmw,X7,Xdrive 40da,2022,06,0 km,Diesel,340 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40da-en-sevilla.htm?id=7710679,92300
10,Bmw,X7,Xdrive 40da,2022,06,0 km,Diesel,340 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40da-en-sevilla.htm?id=6973809,92300
11,Bmw,X7,Xdrive 40da,2021,03,51.051 km,Diesel,340 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-xdrive-40da-en-alicante.htm?id=8069826,89900
12,Bmw,X7,Xdrive 40da,2020,12,63.149 km,Diesel,340 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-xdrive-40da-en-madrid.htm?id=8041446,96990
13,Bmw,X7,Xdrive 40da,2024,01,NUEVO,Diesel,340 CV,automática secuencial,5 puertas,Saphirschwarz metalizado,Profesional,https://www.coches.com/km0/seminuevo-bmw-x7-xdrive-40da-en-pontevedra.htm?id=8026059,108900
14,Bmw,X7,Xdrive 40da,2022,05,56.800 km,Diesel,340 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-xdrive-40da-en-alicante.htm?id=8022906,89800
15,Bmw,X7,M50da,2019,09,63.000 km,Diesel,400 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-m50da-en-alicante.htm?id=8000058,91900
16,Bmw,X7,Xdrive 40da,2022,11,38.500 km,Diesel,340 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-xdrive-40da-en-alicante.htm?id=7975519,103800
17,Bmw,X7,Xdrive 40ia,2019,07,57.755 km,Gasolina,340 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-xdrive-40ia-en-alicante.htm?id=7949796,79900
18,Bmw,X7,Xdrive 40da,2022,12,32.000 km,Diesel,340 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-xdrive-40da-en-alicante.htm?id=7875331,94800
19,Bmw,X7,Xdrive 40da,2020,11,50.060 km,Diesel,340 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x7-xdrive-40da-en-malaga.htm?id=7816692,88900
