,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,Q3,2.0tdi 110kw,2018,,75.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-20tdi-110kw-en-sevilla.htm?id=8015780,27990
1,Audi,A1,1.6tdi Attraction 90,2012,01,37.269 km,Diesel,90 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-16tdi-attraction-90-en-toledo.htm?id=8116640,11799
2,Audi,Q3,1.4 Tfsi Cod Design Edition,2016,08,90.000 km,Gasolina,150 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-14-tfsi-cod-design-edition-en-madrid.htm?id=7922186,20490
3,Audi,A6,3.0bitdi Competition Quattro Tip. 240kw,2016,,140.000 km,Diesel,326 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-30bitdi-competition-quattro-tip-240kw-en-sevilla.htm?id=8125266,37990
4,Audi,A5,Coupé 2.0tdi S Tronic 140kw,2017,,115.000 km,Diesel,190 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-coupe-20tdi-s-tronic-140kw-en-sevilla.htm?id=8120920,26990
5,Audi,A6,Avant 2.0tdi Ultra S Line Ed. S-t 190,2015,01,221.652 km,Diesel,190 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-20tdi-ultra-s-line-ed-s-t-190-en-vizcaya.htm?id=8108637,17992
6,Audi,Tt,Coupé 1.8 Tfsi,2011,,197.000 km,Gasolina,160 CV,manual,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-tt-coupe-18-tfsi-en-malaga.htm?id=8107034,13490
7,Audi,Q5,2.0tdi S Line Quattro-ultra S Tronic 140kw,2018,,120.000 km,Diesel,190 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q5-20tdi-s-line-quattro-ultra-s-tronic-140kw-en-sevilla.htm?id=8101140,36990
8,Audi,A1,Sportback 1.2 Tfsi Attraction,2014,,120.000 km,Gasolina,86 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-12-tfsi-attraction-en-sevilla.htm?id=8092942,13990
9,Audi,A5,Sportback 40 Tdi S Tronic,2020,,50.000 km,Diesel,190 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-sportback-40-tdi-s-tronic-en-sevilla.htm?id=8084843,42990
10,Audi,A3,Rs3 Sportback Quattro S Tronic 294kw,2022,,20.000 km,Gasolina,400 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-rs3-sportback-quattro-s-tronic-294kw-en-sevilla.htm?id=8075516,69990
11,Audi,A6,Avant 3.0bitdi Competition Q.tip. 240kw,2016,,2.016 km,Diesel,326 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-30bitdi-competition-qtip-240kw-en-sevilla.htm?id=8072673,39990
12,Audi,Q3,35 Tdi S Line S Tronic 110kw,2020,,92.000 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-35-tdi-s-line-s-tronic-110kw-en-sevilla.htm?id=8068531,35990
13,Audi,A1,1.6tdi Attraction 90,2014,01,118.000 km,Diesel,90 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-16tdi-attraction-90-en-barcelona.htm?id=8061770,12490
14,Audi,A1,1.6tdi Adrenalin 90,2013,01,105.112 km,Diesel,90 CV,manual,3 puertas,ROJO MISANO EFECTO PERLA NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-16tdi-adrenalin-90-en-girona.htm?id=8053673,12400
15,Audi,Q3,2.0tdi Advance Quattro S-tronic 177,2013,,165.000 km,Diesel,177 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-20tdi-advance-quattro-s-tronic-177-en-sevilla.htm?id=8045008,17990
16,Audi,R8,4.2 Fsi Quattro R Tronic,2008,,97.000 km,Gasolina,420 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-r8-42-fsi-quattro-r-tronic-en-sevilla.htm?id=8018402,55990
