,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,A6,Avant 3.0tdi Quattro S-tronic 160kw,2016,09,169.879 km,Diesel,218 CV,automática secuencial,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-30tdi-quattro-s-tronic-160kw-en-murcia.htm?id=8056892,27950
1,Audi,A6,3.0tdi S Line Edition Quattro S-t 160kw,2015,,159.000 km,Diesel,218 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-30tdi-s-line-edition-quattro-s-t-160kw-en-lleida.htm?id=7737560,23990
2,Audi,A6,S6 Avant Tdi Quattro Tiptronic,2019,,98.000 km,Diesel,349 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-s6-avant-tdi-quattro-tiptronic-en-pontevedra.htm?id=8126904,58890
3,Audi,A6,Rs6 Avant Tfsi Quattro Tiptronic,2020,07,33.000 km,Gasolina,600 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-rs6-avant-tfsi-quattro-tiptronic-en-barcelona.htm?id=8094845,117999
4,Audi,A6,Rs6 Avant Tfsi Quattro Tiptronic,2020,,32.000 km,Gasolina,600 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-rs6-avant-tfsi-quattro-tiptronic-en-pontevedra.htm?id=8059314,117890
5,Audi,A6,45 Tdi Design Quattro Tiptronic,2020,,85.320 km,Diesel,231 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-45-tdi-design-quattro-tiptronic-en-sevilla.htm?id=8122274,32500
6,Audi,A6,Avant 40 Tdi Sport S Tronic,2020,,67.455 km,Diesel,204 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-40-tdi-sport-s-tronic-en-madrid.htm?id=8086220,33890
7,Audi,A6,50 Tdi Quattro Tiptronic,2018,,164.258 km,Diesel,286 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-50-tdi-quattro-tiptronic-en-cadiz.htm?id=8040887,30900
8,Audi,A6,40 Tdi S Tronic Sport,2020,,49.899 km,Diesel,204 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-40-tdi-s-tronic-sport-en-madrid.htm?id=8024986,34490
9,Audi,A6,Avant 40 Tdi S Line S Tronic,2022,,24.325 km,Diesel,204 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-40-tdi-s-line-s-tronic-en-madrid.htm?id=7936903,45890
10,Audi,A6,Avant 40 Tdi S Line S Tronic,2022,,20.859 km,Diesel,204 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-40-tdi-s-line-s-tronic-en-madrid.htm?id=7792933,45890
11,Audi,A6,2.0tdi Advanced Edition S-t 140kw,2017,10,147.869 km,Diesel,190 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-20tdi-advanced-edition-s-t-140kw-en-toledo.htm?id=8085463,18799
12,Audi,A6,40 Tdi Design Quattro-ultra S Tronic,2019,,46.014 km,Diesel,204 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-40-tdi-design-quattro-ultra-s-tronic-en-madrid.htm?id=8042070,32990
13,Audi,A6,2.0tdi Advanced Edition S-t 140kw,2016,,136.000 km,Diesel,190 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-20tdi-advanced-edition-s-t-140kw-en-madrid.htm?id=7997415,19490
14,Audi,A6,Avant 2.4 Multitronic,2002,,195.200 km,Gasolina,170 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-24-multitronic-en-alicante.htm?id=8092972,6400
15,Audi,A6,Rs6 Avant 4.0 Tfsi Quattro Tiptronic,2014,04,135.000 km,Gasolina,560 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-rs6-avant-40-tfsi-quattro-tiptronic-en-barcelona.htm?id=8091107,49999
16,Audi,A6,Avant 3.0tdi Quattro S-tronic 245,2013,06,150.000 km,Diesel,245 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-30tdi-quattro-s-tronic-245-en-tarragona.htm?id=8078986,19999
17,Audi,A6,Avant 40 Tdi S Line S Tronic,2021,,26.000 km,Diesel,204 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-40-tdi-s-line-s-tronic-en-zaragoza.htm?id=8095799,44900
18,Audi,A6,Avant 3.0tdi Quattro Tiptronic,2011,01,220.000 km,Diesel,240 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-30tdi-quattro-tiptronic-en-cordoba.htm?id=8059385,12500
19,Audi,A6,Avant 3.0tdi S-tronic 160kw,2015,,195.751 km,Diesel,218 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-30tdi-s-tronic-160kw-en-pontevedra.htm?id=8053647,19900
20,Audi,A6,50 Tfsie Sport Quattro-ultra S Tronic,2021,,28.000 km,Híbrido,299 CV,automática secuencial,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-50-tfsie-sport-quattro-ultra-s-tronic-en-alicante.htm?id=8043961,45000
21,Audi,A6,Avant 2.0tdi S-tronic 110kw,2014,,179.000 km,Diesel,150 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-20tdi-s-tronic-110kw-en-barcelona.htm?id=8020919,13990
22,Audi,A6,3.0tdi Advanced Ed. Quattro S-t 160kw,2016,,175.769 km,Diesel,218 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-30tdi-advanced-ed-quattro-s-t-160kw-en-madrid.htm?id=8014572,19990
23,Audi,A6,Avant 2.0tdi 170,2009,,184.000 km,Diesel,170 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-20tdi-170-en-barcelona.htm?id=7958262,10490
24,Audi,A6,3.2 Fsi Quattro Tiptronic,2008,,104.000 km,Gasolina,255 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-32-fsi-quattro-tiptronic-en-alicante.htm?id=7755741,10799
25,Audi,A6,3.0bitdi Competition Quattro Tip. 240kw,2016,,140.000 km,Diesel,326 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-30bitdi-competition-quattro-tip-240kw-en-sevilla.htm?id=8125266,37990
26,Audi,A6,Avant 40 Tdi Sport S Tronic (4.75),2019,,58.000 km,Diesel,204 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-40-tdi-sport-s-tronic-475-en-pontevedra.htm?id=8115737,39990
27,Audi,A6,Avant 2.0tdi Ultra S Line Ed. S-t 190,2015,01,221.652 km,Diesel,190 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-20tdi-ultra-s-line-ed-s-t-190-en-vizcaya.htm?id=8108637,17992
28,Audi,A6,55 Tfsi Design Quattro-ultra S Tronic (4.75),2018,,95.000 km,Gasolina,340 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-55-tfsi-design-quattro-ultra-s-tronic-475-en-toledo.htm?id=8091589,37900
29,Audi,A6,S6 4.0 Tfsi Quattro S-tronic,2017,,34.400 km,Gasolina,450 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-s6-40-tfsi-quattro-s-tronic-en-vizcaya.htm?id=8086353,49900
30,Audi,A6,Avant 3.0tdi S Line Edition Q. S-t 160kw,2017,,160.000 km,Diesel,218 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-30tdi-s-line-edition-q-s-t-160kw-en-vizcaya.htm?id=8079941,26500
31,Audi,A6,Avant 3.0bitdi Competition Q.tip. 240kw,2016,,2.016 km,Diesel,326 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6-avant-30bitdi-competition-qtip-240kw-en-sevilla.htm?id=8072673,39990
