,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volvo,V60 Cross Country,B4 Core Awd Aut.,2023,,1 km,Diesel,197 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-volvo-v60+cross+country-b4-core-awd-aut-en-alava.htm?id=8006234,49990
1,Volvo,V60 Cross Country,D4 Awd Aut.,2020,06,88.198 km,Diesel,190 CV,automática secuencial,5 puertas,GRANATE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v60+cross+country-d4-awd-aut-en-coruna+a.htm?id=7906858,37990
2,Volvo,V60 Cross Country,B4 Core Awd Aut.,2023,,1 km,Diesel,197 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-volvo-v60+cross+country-b4-core-awd-aut-en-alava.htm?id=7801225,49990
3,Volvo,V60 Cross Country,D3 Plus,2018,02,125.543 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v60+cross+country-d3-plus-en-madrid.htm?id=7625903,18950
4,Volvo,V60 Cross Country,B4 Core Awd Aut.,2022,11,0 km,Diesel,197 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-volvo-v60+cross+country-b4-core-awd-aut-en-madrid.htm?id=7373019,53900
5,Volvo,V60 Cross Country,D3 Plus,2018,02,125.543 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v60+cross+country-d3-plus-en-madrid.htm?id=7031987,18950
6,Volvo,V60 Cross Country,B4 Core Awd Aut.,2023,10,5 km,Diesel,197 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-volvo-v60+cross+country-b4-core-awd-aut-en-sevilla.htm?id=8057369,49990
7,Volvo,V60 Cross Country,D4 Awd Aut.,2019,03,92.940 km,Diesel,190 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v60+cross+country-d4-awd-aut-en-sevilla.htm?id=8053342,32990
8,Volvo,V60 Cross Country,D3 Plus Aut.,2018,01,105.800 km,Diesel,150 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v60+cross+country-d3-plus-aut-en-sevilla.htm?id=7891413,24990
9,Volvo,V60 Cross Country,B4 Ultimate Awd Aut.,2023,10,7 km,Diesel,197 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volvo-v60+cross+country-b4-ultimate-awd-aut-en-madrid.htm?id=8129813,59900
