,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Porsche,Cayenne,Diesel Platinum Edition Aut.,2017,,221.590 km,Diesel,262 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-diesel-platinum-edition-aut-en-burgos.htm?id=8025310,34500
1,Porsche,Cayenne,E-hybrid Aut.,2018,01,189.000 km,Híbrido,462 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-e-hybrid-aut-en-barcelona.htm?id=8061745,41990
2,Porsche,Cayenne,Diesel Aut.,2016,,105.200 km,Diesel,262 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-diesel-aut-en-tarragona.htm?id=8005706,46000
3,Porsche,Cayenne,S Diesel Aut.,2017,,162.491 km,Diesel,385 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-s-diesel-aut-en-malaga.htm?id=7818523,49900
4,Porsche,Cayenne,E-hybrid Coupé Aut.,2022,,48.000 km,Híbrido,462 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-e-hybrid-coupe-aut-en-barcelona.htm?id=8114044,89900
5,Porsche,Cayenne,Coupé Aut.,2019,,68.000 km,Gasolina,340 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-coupe-aut-en-pontevedra.htm?id=8110986,79990
6,Porsche,Cayenne,Diesel Aut.,2016,,168.000 km,Diesel,262 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-diesel-aut-en-toledo.htm?id=8104762,34900
7,Porsche,Cayenne,Coupé Aut.,2019,05,110.761 km,Gasolina,340 CV,automática secuencial,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-coupe-aut-en-sevilla.htm?id=7964281,78890
8,Porsche,Cayenne,Coupé Aut.,2019,05,110.761 km,Gasolina,340 CV,automática secuencial,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-coupe-aut-en-madrid.htm?id=7964270,78890
9,Porsche,Cayenne,S Hybrid,2012,,98.300 km,Híbrido,380 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayenne-s-hybrid-en-malaga.htm?id=8106949,32000
