,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Cupra,Formentor,1.4 E-hybrid 205 Dsg,2023,04,8.000 km,Híbrido,204 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-14-e-hybrid-205-dsg-en-barcelona.htm?id=7868754,37490
1,Cupra,Formentor,2.0 Tdi 150,2023,05,8.500 km,Diesel,150 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-20-tdi-150-en-sevilla.htm?id=8093542,33300
2,Cupra,Formentor,1.5 Tsi 150 Dsg,2022,10,9.206 km,Gasolina,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-15-tsi-150-dsg-en-barcelona.htm?id=8058327,29900
3,Cupra,Formentor,1.4 E-hybrid 205 Dsg,2023,09,1.000 km,Híbrido,204 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-14-e-hybrid-205-dsg-en-barcelona.htm?id=8052477,41700
4,Cupra,Formentor,2.0 Tdi 150 Dsg 4drive,2022,,8.148 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-20-tdi-150-dsg-4drive-en-madrid.htm?id=7966100,32990
5,Cupra,Formentor,2.0 Tsi 310 Vz Dsg 4drive,2020,,40.845 km,Gasolina,310 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-formentor-20-tsi-310-vz-dsg-4drive-en-coruna+a.htm?id=8032156,41900
6,Cupra,Formentor,1.5 Tsi 150 Dsg,2021,,19.000 km,Gasolina,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-formentor-15-tsi-150-dsg-en-navarra.htm?id=8031555,28500
7,Cupra,Formentor,1.4 E-hybrid 245 Vz Dsg,2021,03,35.083 km,Híbrido,245 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-formentor-14-e-hybrid-245-vz-dsg-en-toledo.htm?id=8093251,34899
8,Cupra,Formentor,1.4 E-hybrid 245 Vz Dsg,2021,03,42.588 km,Híbrido,245 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-formentor-14-e-hybrid-245-vz-dsg-en-toledo.htm?id=8069418,32699
9,Cupra,Formentor,1.4 E-hybrid 245 Vz Dsg,2022,,6.600 km,Híbrido,245 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-14-e-hybrid-245-vz-dsg-en-almeria.htm?id=7978848,35000
10,Cupra,Formentor,1.4 E-hybrid 245 Vz Dsg,2023,02,15.000 km,Híbrido,245 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-formentor-14-e-hybrid-245-vz-dsg-en-madrid.htm?id=8047253,40900
11,Cupra,Formentor,2.0 Tdi 150,2022,,12 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-20-tdi-150-en-madrid.htm?id=8025414,28890
12,Cupra,Formentor,2.0 Tdi 150,2022,,5 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-20-tdi-150-en-madrid.htm?id=7968591,28890
13,Cupra,Formentor,2.0 Tdi 150,2022,,13 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-20-tdi-150-en-madrid.htm?id=7968581,28890
14,Cupra,Formentor,2.0 Tdi 150,2022,,7 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-20-tdi-150-en-madrid.htm?id=7968545,28890
15,Cupra,Formentor,2.0 Tdi 150,2022,,11 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-20-tdi-150-en-madrid.htm?id=7968520,28890
16,Cupra,Formentor,2.0 Tdi 150,2022,,10 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-formentor-20-tdi-150-en-madrid.htm?id=7968507,28890
17,Cupra,Formentor,1.4 E-hybrid 245 Vz Dsg,2021,,22.000 km,Híbrido,245 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-formentor-14-e-hybrid-245-vz-dsg-en-barcelona.htm?id=8128939,37900
