,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Lexus,Is,220d Sport,2009,,215.000 km,Diesel,177 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-220d-sport-en-madrid.htm?id=8125744,6495
1,Lexus,Is,250 Sport Aut.,2007,06,84.000 km,Gasolina,208 CV,automática secuencial,4 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-250-sport-aut-en-barcelona.htm?id=7993415,11499
2,Lexus,Is,220d Sport,2006,,180.000 km,Diesel,177 CV,manual,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-220d-sport-en-almeria.htm?id=6844627,5999
3,Lexus,Is,200d Luxury,2011,,229.198 km,Diesel,150 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-200d-luxury-en-salamanca.htm?id=8113708,9500
4,Lexus,Is,300h Executive,2019,,118.750 km,Híbrido,223 CV,automática continua,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-300h-executive-en-valencia.htm?id=8112437,27500
5,Lexus,Is,220d Sport,2008,,229.000 km,Diesel,177 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-220d-sport-en-vizcaya.htm?id=8107050,6999
6,Lexus,Is,300h Executive,2019,11,54.326 km,Híbrido,223 CV,automática continua,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-300h-executive-en-madrid.htm?id=8070352,27790
7,Lexus,Is,300h Executive,2020,06,51.902 km,Híbrido,223 CV,automática continua,4 puertas,Negro Graphite,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-300h-executive-en-barcelona.htm?id=8030031,32900
8,Lexus,Is,300h Executive,2018,10,50.000 km,Híbrido,223 CV,automática continua,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-300h-executive-en-barcelona.htm?id=7884355,28990
9,Lexus,Is,300h Business,2018,11,133.982 km,Híbrido,223 CV,automática continua,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-is-300h-business-en-madrid.htm?id=8062098,19900
