,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Bmw,Serie 8,840d Coupé Xdrive,2019,,69.000 km,Diesel,320 CV,automática secuencial,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840d-coupe-xdrive-en-valencia.htm?id=8009313,62900
1,Bmw,Serie 8,840d Coupé Xdrive,2019,02,79.084 km,Diesel,320 CV,automática secuencial,2 puertas,GRIS ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840d-coupe-xdrive-en-madrid.htm?id=7952805,64800
2,Bmw,Serie 8,840d Gran Coupé Xdrive,2021,,68.000 km,Diesel,340 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840d-gran-coupe-xdrive-en-lleida.htm?id=7982990,79900
3,Bmw,Serie 8,840ia Gran Coupé,2022,03,38.501 km,Gasolina,333 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840ia-gran-coupe-en-malaga.htm?id=8075068,79890
4,Bmw,Serie 8,840ia Gran Coupé,2022,03,38.501 km,Gasolina,333 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840ia-gran-coupe-en-sevilla.htm?id=8074907,79890
5,Bmw,Serie 8,840ia Gran Coupé,2022,03,38.501 km,Gasolina,333 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840ia-gran-coupe-en-madrid.htm?id=8074876,79890
6,Bmw,Serie 8,840ia Cabrio Xdrive,2022,06,26.702 km,Gasolina,333 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840ia-cabrio-xdrive-en-malaga.htm?id=8069892,85890
7,Bmw,Serie 8,840ia Cabrio Xdrive,2022,06,26.702 km,Gasolina,333 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840ia-cabrio-xdrive-en-sevilla.htm?id=8069691,85890
8,Bmw,Serie 8,840ia Cabrio Xdrive,2022,06,26.702 km,Gasolina,333 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840ia-cabrio-xdrive-en-madrid.htm?id=8069608,85890
9,Bmw,Serie 8,840d Coupé Xdrive,2019,04,30.000 km,Diesel,320 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840d-coupe-xdrive-en-granada.htm?id=7839519,69900
10,Bmw,Serie 8,840d Coupé Xdrive,2019,,69.000 km,Diesel,320 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-840d-coupe-xdrive-en-lugo.htm?id=7830097,75900
11,Bmw,Serie 8,M8 Competition Coupé,2021,08,26.048 km,Gasolina,625 CV,automática secuencial,2 puertas,NEGRO ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+8-m8-competition-coupe-en-madrid.htm?id=8046011,132800
